observation_date,USALORSGPNOSTSAM
1962-07-01,100.05419999999999
1962-08-01,99.93903000000000
1962-09-01,99.79639000000000
1962-10-01,99.64117000000000
1962-11-01,99.49308000000001
1962-12-01,99.36946000000000
1963-01-01,99.27740000000000
1963-02-01,99.21956000000000
1963-03-01,99.19736000000000
1963-04-01,99.21147999999999
1963-05-01,99.26043000000000
1963-06-01,99.33620999999999
1963-07-01,99.41723000000000
1963-08-01,99.48107000000000
1963-09-01,99.51654000000001
1963-10-01,99.53657000000000
1963-11-01,99.56234000000001
1963-12-01,99.60838000000000
1964-01-01,99.66704000000000
1964-02-01,99.72102000000000
1964-03-01,99.75463000000001
1964-04-01,99.76508000000000
1964-05-01,99.75500000000000
1964-06-01,99.72659000000000
1964-07-01,99.67699000000000
1964-08-01,99.60482000000000
1964-09-01,99.51801000000000
1964-10-01,99.44306000000000
1964-11-01,99.41013000000000
1964-12-01,99.43762000000000
1965-01-01,99.51357000000000
1965-02-01,99.61555000000000
1965-03-01,99.72669999999999
1965-04-01,99.84961000000000
1965-05-01,99.99715000000000
1965-06-01,100.18240000000000
1965-07-01,100.40649999999999
1965-08-01,100.66410000000000
1965-09-01,100.94530000000000
1965-10-01,101.23550000000000
1965-11-01,101.51580000000000
1965-12-01,101.76270000000000
1966-01-01,101.94900000000000
1966-02-01,102.04989999999999
1966-03-01,102.05440000000000
1966-04-01,101.98190000000000
1966-05-01,101.86350000000000
1966-06-01,101.72820000000000
1966-07-01,101.59330000000000
1966-08-01,101.46680000000001
1966-09-01,101.35020000000000
1966-10-01,101.24060000000000
1966-11-01,101.13200000000001
1966-12-01,101.01649999999999
1967-01-01,100.88530000000000
1967-02-01,100.73220000000001
1967-03-01,100.55830000000000
1967-04-01,100.37850000000000
1967-05-01,100.21259999999999
1967-06-01,100.07769999999999
1967-07-01,99.97972000000000
1967-08-01,99.92081000000000
1967-09-01,99.90491000000000
1967-10-01,99.94025000000001
1967-11-01,100.03520000000000
1967-12-01,100.19110000000001
1968-01-01,100.39019999999999
1968-02-01,100.60610000000000
1968-03-01,100.81160000000000
1968-04-01,100.98450000000000
1968-05-01,101.10830000000000
1968-06-01,101.17510000000000
1968-07-01,101.19240000000001
1968-08-01,101.17510000000000
1968-09-01,101.14230000000001
1968-10-01,101.11610000000000
1968-11-01,101.11420000000000
1968-12-01,101.14210000000000
1969-01-01,101.18370000000000
1969-02-01,101.21480000000000
1969-03-01,101.21469999999999
1969-04-01,101.17970000000000
1969-05-01,101.11210000000000
1969-06-01,101.01290000000000
1969-07-01,100.87630000000000
1969-08-01,100.69459999999999
1969-09-01,100.46510000000001
1969-10-01,100.20140000000001
1969-11-01,99.92325000000000
1969-12-01,99.65012000000000
1970-01-01,99.39561000000000
1970-02-01,99.16888000000000
1970-03-01,98.97471000000000
1970-04-01,98.81187000000000
1970-05-01,98.67497000000000
1970-06-01,98.55410000000001
1970-07-01,98.43274000000000
1970-08-01,98.30015000000000
1970-09-01,98.16367000000000
1970-10-01,98.06168000000000
1970-11-01,98.03703000000000
1970-12-01,98.10834000000000
1971-01-01,98.24902000000000
1971-02-01,98.40772000000000
1971-03-01,98.53685000000000
1971-04-01,98.61981000000000
1971-05-01,98.65794000000000
1971-06-01,98.66049000000000
1971-07-01,98.63771000000000
1971-08-01,98.60209999999999
1971-09-01,98.57146000000000
1971-10-01,98.57281000000000
1971-11-01,98.63418000000000
1971-12-01,98.77428000000000
1972-01-01,98.98764000000000
1972-02-01,99.25620000000001
1972-03-01,99.55531000000001
1972-04-01,99.85570000000000
1972-05-01,100.13260000000000
1972-06-01,100.37510000000000
1972-07-01,100.59630000000000
1972-08-01,100.82070000000000
1972-09-01,101.07220000000000
1972-10-01,101.36170000000000
1972-11-01,101.68850000000000
1972-12-01,102.03810000000000
1973-01-01,102.37779999999999
1973-02-01,102.66790000000000
1973-03-01,102.87300000000000
1973-04-01,102.97799999999999
1973-05-01,102.98160000000000
1973-06-01,102.89630000000000
1973-07-01,102.75650000000000
1973-08-01,102.59770000000000
1973-09-01,102.44100000000000
1973-10-01,102.27870000000000
1973-11-01,102.09110000000000
1973-12-01,101.86369999999999
1974-01-01,101.60610000000000
1974-02-01,101.33580000000001
1974-03-01,101.06420000000000
1974-04-01,100.78430000000000
1974-05-01,100.48139999999999
1974-06-01,100.14390000000000
1974-07-01,99.77602000000000
1974-08-01,99.38849999999999
1974-09-01,98.99151000000001
1974-10-01,98.58928000000000
1974-11-01,98.18687000000000
1974-12-01,97.79718000000000
1975-01-01,97.44790999999999
1975-02-01,97.17097000000000
1975-03-01,96.98943000000000
1975-04-01,96.91301000000000
1975-05-01,96.93767000000000
1975-06-01,97.05092999999999
1975-07-01,97.22956000000001
1975-08-01,97.45041000000001
1975-09-01,97.69637000000000
1975-10-01,97.95905999999999
1975-11-01,98.23293000000000
1975-12-01,98.50771000000000
1976-01-01,98.75977000000000
1976-02-01,98.96160999999999
1976-03-01,99.09287999999999
1976-04-01,99.15467000000000
1976-05-01,99.15885000000000
1976-06-01,99.12197999999999
1976-07-01,99.06323000000000
1976-08-01,99.00148000000000
1976-09-01,98.95381999999999
1976-10-01,98.93434999999999
1976-11-01,98.95538000000001
1976-12-01,99.02661999999999
1977-01-01,99.15124000000000
1977-02-01,99.32782000000000
1977-03-01,99.54817000000000
1977-04-01,99.79131000000000
1977-05-01,100.02970000000001
1977-06-01,100.23390000000001
1977-07-01,100.37750000000000
1977-08-01,100.44190000000000
1977-09-01,100.42680000000000
1977-10-01,100.36390000000000
1977-11-01,100.30190000000000
1977-12-01,100.29310000000000
1978-01-01,100.38200000000001
1978-02-01,100.59540000000000
1978-03-01,100.92670000000000
1978-04-01,101.33250000000000
1978-05-01,101.74809999999999
1978-06-01,102.12100000000000
1978-07-01,102.42489999999999
1978-08-01,102.65710000000000
1978-09-01,102.82270000000000
1978-10-01,102.92290000000000
1978-11-01,102.95610000000001
1978-12-01,102.92390000000000
1979-01-01,102.84170000000000
1979-02-01,102.73030000000000
1979-03-01,102.61050000000000
1979-04-01,102.50120000000000
1979-05-01,102.41589999999999
1979-06-01,102.35930000000000
1979-07-01,102.32259999999999
1979-08-01,102.28970000000000
1979-09-01,102.24270000000000
1979-10-01,102.16679999999999
1979-11-01,102.04700000000000
1979-12-01,101.86600000000000
1980-01-01,101.60670000000000
1980-02-01,101.25970000000000
1980-03-01,100.83650000000000
1980-04-01,100.38930000000001
1980-05-01,99.98557000000000
1980-06-01,99.68686000000000
1980-07-01,99.52399000000000
1980-08-01,99.50644000000000
1980-09-01,99.62117000000001
1980-10-01,99.83777000000001
1980-11-01,100.10990000000000
1980-12-01,100.38660000000000
1981-01-01,100.61910000000000
1981-02-01,100.77110000000000
1981-03-01,100.83150000000001
1981-04-01,100.81870000000001
1981-05-01,100.76439999999999
1981-06-01,100.68790000000000
1981-07-01,100.57350000000000
1981-08-01,100.38990000000000
1981-09-01,100.11199999999999
1981-10-01,99.74692000000000
1981-11-01,99.31992000000000
1981-12-01,98.86578000000000
1982-01-01,98.42512000000001
1982-02-01,98.03345000000000
1982-03-01,97.70954000000000
1982-04-01,97.44035000000000
1982-05-01,97.20131000000001
1982-06-01,96.97208999999999
1982-07-01,96.74963000000000
1982-08-01,96.54365000000000
1982-09-01,96.37148999999999
1982-10-01,96.25169000000000
1982-11-01,96.20314000000000
1982-12-01,96.24041000000000
1983-01-01,96.36349000000000
1983-02-01,96.56596000000000
1983-03-01,96.83642999999999
1983-04-01,97.15380000000000
1983-05-01,97.49632000000000
1983-06-01,97.84688000000000
1983-07-01,98.19607999999999
1983-08-01,98.53982999999999
1983-09-01,98.87656000000000
1983-10-01,99.20415000000000
1983-11-01,99.51970000000000
1983-12-01,99.81921000000000
1984-01-01,100.09800000000000
1984-02-01,100.34960000000000
1984-03-01,100.56640000000000
1984-04-01,100.74130000000000
1984-05-01,100.86790000000001
1984-06-01,100.94310000000000
1984-07-01,100.97350000000000
1984-08-01,100.96920000000000
1984-09-01,100.94110000000001
1984-10-01,100.90020000000000
1984-11-01,100.85620000000000
1984-12-01,100.81619999999999
1985-01-01,100.78410000000000
1985-02-01,100.76300000000001
1985-03-01,100.75570000000000
1985-04-01,100.76600000000001
1985-05-01,100.79610000000000
1985-06-01,100.84310000000001
1985-07-01,100.89409999999999
1985-08-01,100.93310000000000
1985-09-01,100.94799999999999
1985-10-01,100.93830000000000
1985-11-01,100.90840000000000
1985-12-01,100.86260000000000
1986-01-01,100.80249999999999
1986-02-01,100.72810000000000
1986-03-01,100.64149999999999
1986-04-01,100.55040000000000
1986-05-01,100.46330000000000
1986-06-01,100.38520000000000
1986-07-01,100.31280000000000
1986-08-01,100.23990000000001
1986-09-01,100.16230000000000
1986-10-01,100.08250000000000
1986-11-01,100.00670000000000
1986-12-01,99.94229000000000
1987-01-01,99.89421000000000
1987-02-01,99.86606999999999
1987-03-01,99.85941000000000
1987-04-01,99.87182000000000
1987-05-01,99.90070000000000
1987-06-01,99.94550000000000
1987-07-01,100.00910000000000
1987-08-01,100.09370000000000
